vomit,blood,y,x,street,lat,urine,eventdate,humanfouling,long
 Yes,NO,182022,526348,RANDOLPH ROAD,51.523003,NO,04/03/2013,NO,-0.1802225
 NO,NO,180575,529637,ST ALBAN'S STREET,51.50925,Yes,04/03/2013,NO,-0.133373
 Yes,NO,180460,529889,WHITCOMB STREET,51.50816,NO,04/03/2013,Yes,-0.1297861
 NO,NO,180918,530220,BANBURY COURT,51.5122,Yes,22/04/2013,NO,-0.1248502
 NO,NO,181633,529351,BERNERS MEWS,51.518826,NO,22/04/2013,Yes,-0.1371038
 NO,NO,181446,527455,CATO STREET,51.51758,Yes,22/04/2013,NO,-0.1644888
 NO,NO,180890,530181,CONDUIT COURT,51.51196,NO,22/04/2013,Yes,-0.1254223
 NO,NO,181046,529446,INGESTRE PLACE,51.51353,Yes,22/04/2013,NO,-0.1359509
 Yes,NO,181925,528270,OLDBURY PLACE,51.521698,NO,22/04/2013,NO,-0.1525692
 NO,NO,180988,531053,DEVEREUX COURT,51.512638,NO,02/01/2013,Yes,-0.112827
 Yes,NO,182273,525212,EDBROOKE ROAD,51.52551,NO,02/01/2013,NO,-0.1964991
 Yes,NO,182122,525942,FORMOSA STREET,51.523994,NO,02/01/2013,NO,-0.1860402
 NO,NO,179169,529416,FRANCIS STREET,51.496666,NO,02/01/2013,Yes,-0.1370714
 NO,NO,180415,529298,JERMYN STREET,51.507893,Yes,02/01/2013,NO,-0.1383138
 NO,Yes,180729,529810,LEICESTER SQUARE,51.510597,NO,02/01/2013,NO,-0.1308323
 NO,NO,180703,530410,LUMLEY COURT,51.510223,Yes,02/01/2013,Yes,-0.1221933
 NO,NO,181102,529447,PORTLAND MEWS,51.51403,NO,02/01/2013,Yes,-0.1359159
 NO,NO,180575,529637,ST ALBAN'S STREET,51.50925,NO,02/01/2013,Yes,-0.133373
 NO,NO,180980,528493,ST ANSELM'S PLACE,51.513153,NO,02/01/2013,Yes,-0.1497011
 Yes,NO,180608,529874,ORANGE STREET,51.509495,NO,21/12/2012,NO,-0.1299477
 NO,NO,181752,529282,RIDING HOUSE STREET,51.519917,NO,21/12/2012,Yes,-0.1380622
 Yes,NO,180966,530834,STRAND,51.51249,NO,21/12/2012,NO,-0.1159893
 NO,NO,181074,529239,FOUBERT'S PLACE,51.513832,NO,10/11/2012,Yes,-0.1389227
 Yes,NO,0,0,Not Recorded,0.0,NO,15/05/2012,NO,0.0 NO,NO,182224,525498,SEVINGTON 
STREET,51.525005,NO,15/05/2012,Yes,-0.1923961 Yes,NO,180511,530069,DUNCANNON 
STREET,51.50858,NO,27/04/2012,NO,-0.1271751 NO,NO,181106,529734,FRITH 
STREET,51.514004,NO,27/04/2012,Yes,-0.1317807 Yes,NO,0,0,Not 
Recorded,0.0,NO,27/04/2012,NO,0.0 NO,NO,180745,529978,CECIL 
COURT,51.5107,Yes,06/06/2013,NO,-0.1283994 Yes,NO,182367,524415,HARROW 
ROAD,51.52653,NO,06/06/2013,NO,-0.2079486
 Yes,NO,180671,529636,HAYMARKET,51.510117,NO,06/06/2013,NO,-0.1333568
 NO,NO,180741,529932,HUNTS COURT,51.510677,Yes,06/06/2013,NO,-0.1290634
 Yes,NO,180729,529810,LEICESTER SQUARE,51.510597,NO,06/06/2013,NO,-0.1308323
 NO,NO,180366,529357,MASON'S YARD,51.507446,Yes,06/06/2013,NO,-0.1374891
 NO,NO,179517,529858,MATTHEW PARKER 
STREET,51.499695,NO,06/06/2013,Yes,-0.1305796 NO,NO,180575,529637,ST ALBAN'S 
STREET,51.50925,Yes,06/06/2013,NO,-0.133373 NO,NO,180460,529889,WHITCOMB 
STREET,51.50816,Yes,06/06/2013,NO,-0.1297861 NO,NO,181156,525331,BOTTS 
MEWS,51.515446,NO,03/07/2012,Yes,-0.1951818 NO,NO,180311,530351,EMBANKMENT 
PLACE,51.50672,NO,03/07/2012,Yes,-0.1231922 NO,NO,0,0,Not 
Recorded,0.0,Yes,03/07/2012,NO,0.0 NO,NO,180256,530939,WATERLOO 
BRIDGE,51.506084,Yes,03/07/2012,NO,-0.1147406 NO,NO,181156,525331,BOTTS 
MEWS,51.515446,NO,18/03/2013,Yes,-0.1951818 NO,NO,181171,525328,BRIDSTOW 
PLACE,51.515587,NO,18/03/2013,Yes,-0.1952263 NO,NO,180528,530297,BUCKINGHAM 
STREET,51.50868,NO,18/03/2013,Yes,-0.1238853 Yes,NO,181115,531139,FLEET 
STREET,51.51376,NO,18/03/2013,NO,-0.1115412 NO,NO,180611,530085,Not 
Recorded,51.509476,NO,18/03/2013,Yes,-0.1269071 Yes,NO,180918,529657,WARDOUR 
STREET,51.51233,NO,18/03/2013,NO,-0.1329589 Yes,NO,180729,529810,LEICESTER 
SQUARE,51.510597,NO,16/02/2013,NO,-0.1308323 Yes,NO,181795,529049,GREAT 
TITCHFIELD STREET,51.52035,NO,06/09/2013,NO,-0.1413947 Yes,NO,180859,529695,Not 
Recorded,51.51179,NO,06/09/2013,NO,-0.1324397 NO,NO,180215,528332,PARK 
LANE,51.506317,Yes,06/09/2013,Yes,-0.1523064 Yes,NO,181669,528019,BAKER 
STREET,51.51945,NO,11/06/2013,NO,-0.156278 NO,NO,181855,528978,BOLSOVER 
STREET,51.520912,Yes,11/06/2013,NO,-0.1423966 NO,NO,181024,528644,GLOBE 
YARD,51.513515,NO,11/06/2013,Yes,-0.1475102 NO,NO,178505,529263,GLOUCESTER 
STREET,51.490734,NO,11/06/2013,Yes,-0.1395173 NO,NO,180873,529975,GREAT NEWPORT 
STREET,51.511852,Yes,11/06/2013,NO,-0.1283954 Yes,NO,180729,529810,LEICESTER 
SQUARE,51.510597,NO,11/06/2013,NO,-0.1308323 Yes,NO,182100,528415,MARYLEBONE 
ROAD,51.52324,NO,11/06/2013,NO,-0.1504129 Yes,NO,180608,529874,ORANGE 
STREET,51.509495,NO,11/06/2013,NO,-0.1299477 NO,NO,181094,528532,SOUTH MOLTON 
STREET,51.514175,Yes,11/06/2013,NO,-0.1490951 NO,NO,180531,529506,BABMAES 
STREET,51.50889,NO,14/01/2013,Yes,-0.1352758 NO,NO,180686,530385,BULL INN 
COURT,51.51008,NO,14/01/2013,Yes,-0.1225596 NO,NO,0,0,Not 
Recorded,0.0,NO,19/06/2012,Yes,0.0 NO,NO,180575,529637,ST ALBAN'S 
STREET,51.50925,NO,19/06/2012,Yes,-0.133373 NO,NO,181672,524748,ST LUKE'S 
ROAD,51.52021,NO,19/06/2012,Yes,-0.2033968 Yes,NO,180611,530085,WILLIAM IV 
STREET,51.509476,NO,19/06/2012,NO,-0.1269071 NO,NO,180226,529316,CROWN 
PASSAGE,51.50619,Yes,14/05/2013,NO,-0.1381302 NO,NO,181032,530344,HANOVER 
PLACE,51.513195,Yes,14/05/2013,NO,-0.1230222 NO,NO,181044,528659,HAUNCH OF 
VENISON YARD,51.51369,NO,14/05/2013,Yes,-0.1472868
 NO,NO,182100,528415,MARYLEBONE ROAD,51.52324,NO,14/05/2013,Yes,-0.1504129
 NO,NO,180215,528332,PARK LANE,51.506317,Yes,14/05/2013,NO,-0.1523064
 NO,NO,181022,529590,TYLER'S COURT,51.51328,Yes,14/05/2013,NO,-0.1338857
 Yes,NO,181171,525328,BRIDSTOW PLACE,51.515587,NO,04/10/2012,NO,-0.1952263
 NO,NO,179611,527659,KNIGHTSBRIDGE GREEN,51.501038,Yes,04/10/2012,NO,-0.1622086
 Yes,NO,0,0,Not Recorded,0.0,NO,04/10/2012,NO,0.0 NO,NO,180931,530411,RUSSELL 
STREET,51.51227,Yes,04/10/2012,NO,-0.1220946 NO,NO,180256,530939,WATERLOO 
BRIDGE,51.506084,Yes,04/10/2012,NO,-0.1147406 NO,NO,180918,530220,BANBURY 
COURT,51.5122,Yes,17/02/2013,NO,-0.1248502 NO,NO,181137,528744,DERING 
STREET,51.51451,Yes,17/02/2013,NO,-0.1460328 NO,NO,181165,529105,LITTLE ARGYLL 
STREET,51.514683,Yes,17/02/2013,NO,-0.1408229 Yes,NO,180460,529889,WHITCOMB 
STREET,51.50816,NO,17/02/2013,NO,-0.1297861 NO,NO,180745,529978,CECIL 
COURT,51.5107,Yes,01/09/2012,Yes,-0.1283994 NO,NO,180765,530073,GOODWIN'S 
COURT,51.51086,NO,01/09/2012,Yes,-0.1270238 NO,NO,181194,528991,SWALLOW 
PLACE,51.51496,Yes,01/09/2012,NO,-0.1424501 Yes,NO,181186,528425,JAMES 
STREET,51.51502,NO,27/04/2013,NO,-0.1506069
 Yes,NO,179863,528517,PICCADILLY,51.50311,NO,27/04/2013,NO,-0.1497623
 NO,NO,181630,527758,WYNDHAM MEWS,51.51916,NO,27/04/2013,Yes,-0.1600518
 NO,NO,181121,529761,BATEMAN'S BUILDINGS,51.514133,NO,04/07/2012,Yes,-0.1313876
 Yes,NO,180645,530010,HANWAY STREET,51.509796,NO,04/07/2012,NO,-0.1279754
 NO,NO,180829,530626,LANCASTER PLACE,51.511307,Yes,04/07/2012,NO,-0.1190358
 NO,NO,0,0,Not Recorded,0.0,NO,04/07/2012,Yes,0.0 Yes,NO,180576,530156,ADELAIDE 
STREET,51.509144,NO,12/07/2012,NO,-0.1258982 NO,NO,182100,528415,MARYLEBONE 
ROAD,51.52324,NO,12/07/2012,Yes,-0.1504129 Yes,NO,180491,529754,CHARLES II 
STREET,51.508472,NO,20/03/2013,NO,-0.1317242 NO,NO,180311,530351,EMBANKMENT 
PLACE,51.50672,NO,20/03/2013,Yes,-0.1231922 Yes,NO,180703,530410,LUMLEY 
COURT,51.510223,Yes,20/03/2013,Yes,-0.1221933 NO,NO,181534,529439,NEWMAN 
PASSAGE,51.517914,NO,16/09/2013,Yes,-0.1358704 NO,NO,181022,529590,TYLER'S 
COURT,51.51328,Yes,16/09/2013,NO,-0.1338857 NO,NO,181618,529442,CHARLOTTE 
PLACE,51.51867,NO,13/09/2013,Yes,-0.1357985 NO,NO,182187,524666,FERMOY 
ROAD,51.524857,Yes,13/09/2013,NO,-0.2043959 NO,NO,181024,528644,GLOBE 
YARD,51.513515,Yes,13/09/2013,Yes,-0.1475102 NO,NO,181165,529105,LITTLE ARGYLL 
STREET,51.514683,NO,13/09/2013,Yes,-0.1408229 NO,NO,180311,530351,EMBANKMENT 
PLACE,51.50672,NO,06/03/2013,Yes,-0.1231922 NO,NO,182193,527625,LINHOPE 
STREET,51.52425,NO,06/03/2013,Yes,-0.1617638 NO,NO,181120,529480,LIVONIA 
STREET,51.514187,Yes,06/03/2013,NO,-0.135434 Yes,NO,181595,527767,MONTAGU 
SQUARE,51.518845,NO,06/03/2013,NO,-0.1599349
 Yes,NO,179863,528517,PICCADILLY,51.50311,NO,06/03/2013,NO,-0.1497623
 NO,NO,181102,529447,PORTLAND MEWS,51.51403,NO,06/03/2013,Yes,-0.1359159
 NO,Yes,179682,527425,KNIGHTSBRIDGE,51.501728,NO,12/12/2012,NO,-0.1655524
 Yes,NO,180729,529810,LEICESTER SQUARE,51.510597,NO,12/12/2012,NO,-0.1308323
 Yes,NO,181336,528994,REGENT STREET,51.516247,NO,29/04/2013,NO,-0.1423526
 NO,NO,181330,529530,GREAT CHAPEL STREET,51.516064,NO,12/10/2012,Yes,-0.134641
 NO,NO,180415,529298,JERMYN STREET,51.507893,NO,12/10/2012,Yes,-0.1383138
 Yes,NO,180918,529657,WARDOUR STREET,51.51233,NO,12/10/2012,NO,-0.1329589
 Yes,NO,179349,528520,WILTON MEWS,51.498493,NO,12/10/2012,NO,-0.1499112
 NO,NO,180295,530405,VICTORIA EMBANKMENT,51.50656,Yes,10/02/2013,Yes,-0.1224161
 NO,NO,0,0,Not Recorded,0.0,Yes,04/08/2012,NO,0.0
 Yes,NO,179863,528517,PICCADILLY,51.50311,NO,04/08/2012,NO,-0.1497623
 NO,NO,180828,530173,ROSE STREET,51.511402,NO,04/08/2012,Yes,-0.1255604
 NO,NO,180575,529637,ST ALBAN'S STREET,51.50925,NO,04/08/2012,Yes,-0.133373
 Yes,NO,180714,530277,MAIDEN LANE,51.51036,NO,13/04/2013,NO,-0.1241106
 NO,Yes,180667,529553,PICCADILLY CIRCUS,51.510098,NO,13/04/2013,NO,-0.134549
 NO,NO,182154,525734,BRADEN STREET,51.524323,Yes,14/08/2012,NO,-0.189021
 NO,NO,181448,529266,MARYLEBONE PASSAGE,51.51718,NO,14/08/2012,Yes,-0.138396
 NO,NO,180640,529533,PICCADILLY CIRCUS,51.50986,Yes,14/08/2012,NO,-0.1348469
 NO,NO,181094,528532,SOUTH MOLTON STREET,51.514175,NO,14/08/2012,Yes,-0.1490951
 NO,NO,183157,527065,SOUTHCOTT MEWS,51.53304,NO,27/11/2012,Yes,-0.1694839
 Yes,NO,180642,530328,BEDFORD STREET,51.509697,NO,24/11/2012,NO,-0.1233968
 NO,NO,179349,528313,BELGRAVE SQUARE,51.498535,NO,25/05/2012,Yes,-0.1528868
 Yes,NO,180402,529796,COCKSPUR STREET,51.507664,NO,25/05/2012,NO,-0.1311446
 NO,NO,180431,530185,CRAVEN STREET,51.50783,NO,25/05/2012,Yes,-0.1255341
 NO,NO,180703,530410,LUMLEY COURT,51.510223,NO,25/05/2012,Yes,-0.1221933
 NO,NO,0,0,Not Recorded,0.0,NO,25/05/2012,Yes,0.0 NO,NO,181046,528574,SOUTH 
MOLTON PASSAGE,51.51373,Yes,25/05/2012,Yes,-0.1485104 NO,NO,181559,528924,ALL 
SOULS PLACE,51.518257,NO,20/05/2013,Yes,-0.1432817 NO,NO,183200,526941,COCHRANE 
MEWS,51.533455,Yes,20/05/2013,NO,-0.1712552 NO,NO,181333,527466,FORSET 
STREET,51.51656,NO,20/05/2013,Yes,-0.1643671 NO,Yes,180729,529810,LEICESTER 
SQUARE,51.510597,NO,20/05/2013,NO,-0.1308323 NO,NO,181094,528532,SOUTH MOLTON 
STREET,51.514175,Yes,20/05/2013,NO,-0.1490951 NO,NO,180575,529637,ST ALBAN'S 
STREET,51.50925,NO,20/05/2013,Yes,-0.133373 NO,NO,179270,529676,ST MATTHEW 
STREET,51.497517,NO,20/05/2013,Yes,-0.1332909 NO,NO,180733,529596,GREAT WINDMILL 
STREET,51.510685,Yes,08/09/2012,NO,-0.1339126 Yes,NO,180784,530070,NEW 
ROW,51.511032,NO,08/09/2012,NO,-0.12706 NO,NO,0,0,Not 
Recorded,0.0,Yes,08/09/2012,NO,0.0 Yes,NO,180575,529637,ST JAMES'S 
MARKET,51.50925,NO,08/09/2012,NO,-0.133373 NO,NO,180703,530410,LUMLEY 
COURT,51.510223,NO,11/04/2012,Yes,-0.1221933 NO,NO,0,0,Not 
Recorded,0.0,Yes,11/04/2012,NO,0.0 NO,NO,180460,529889,WHITCOMB 
STREET,51.50816,NO,11/04/2012,Yes,-0.1297861 Yes,NO,182271,526347,CLIFTON 
GARDENS,51.525238,NO,07/08/2012,NO,-0.1801477 NO,NO,180297,530065,CRAIG'S 
COURT,51.506664,Yes,07/08/2012,NO,-0.12731 NO,NO,180703,530410,LUMLEY 
COURT,51.510223,Yes,07/08/2012,NO,-0.1221933 NO,NO,180980,528493,ST ANSELM'S 
PLACE,51.513153,NO,07/08/2012,Yes,-0.1497011 Yes,NO,180576,530156,ADELAIDE 
STREET,51.509144,NO,22/09/2013,NO,-0.1258982 NO,NO,180848,530372,COVENT 
GARDEN,51.511536,Yes,22/09/2013,NO,-0.1226869 NO,NO,180415,529298,JERMYN 
STREET,51.507893,Yes,22/09/2013,NO,-0.1383138 NO,Yes,181038,530269,LONG 
ACRE,51.513268,NO,22/09/2013,NO,-0.1241002 NO,NO,180608,529874,ORANGE 
STREET,51.509495,Yes,22/09/2013,NO,-0.1299477 Yes,NO,180641,529798,PANTON 
STREET,51.509808,NO,22/09/2013,NO,-0.1310284 NO,NO,180575,529637,ST ALBAN'S 
STREET,51.50925,Yes,22/09/2013,NO,-0.133373 Yes,NO,180575,529637,ST JAMES'S 
MARKET,51.50925,NO,22/09/2013,NO,-0.133373 NO,NO,181967,525432,AMBERLEY 
ROAD,51.52271,Yes,28/08/2013,NO,-0.1934384 NO,NO,181633,529351,BERNERS 
MEWS,51.518826,NO,28/08/2013,Yes,-0.1371038 NO,NO,180930,528590,BROOK 
STREET,51.51268,NO,28/08/2013,Yes,-0.1483222 NO,NO,181137,528744,DERING 
STREET,51.51451,Yes,28/08/2013,NO,-0.1460328 NO,NO,181795,529049,GREAT 
TITCHFIELD STREET,51.52035,Yes,28/08/2013,NO,-0.1413947
 NO,NO,181133,525187,HEAD'S MEWS,51.51527,NO,28/08/2013,Yes,-0.1972641
 NO,NO,181641,524836,LEAMINGTON ROAD 
VILLAS,51.519913,NO,28/08/2013,Yes,-0.2021401 Yes,NO,180729,529810,LEICESTER 
SQUARE,51.510597,NO,28/08/2013,NO,-0.1308323 NO,NO,180703,530410,LUMLEY 
COURT,51.510223,Yes,28/08/2013,NO,-0.1221933 NO,NO,181332,525113,MOORHOUSE 
ROAD,51.517075,Yes,28/08/2013,NO,-0.1982594 Yes,NO,181336,528994,REGENT 
STREET,51.516247,NO,28/08/2013,NO,-0.1423526 NO,NO,181776,527493,WALMER 
PLACE,51.52054,NO,28/08/2013,Yes,-0.1638199 NO,NO,182211,525146,CHIPPENHAM 
ROAD,51.52497,NO,25/04/2012,Yes,-0.1974726 NO,NO,181137,528744,DERING 
STREET,51.51451,Yes,02/09/2013,NO,-0.1460328 NO,NO,182055,527736,DORSET 
SQUARE,51.522987,NO,02/09/2013,Yes,-0.1602147 NO,NO,180795,528002,DUNRAVEN 
STREET,51.5116,NO,02/09/2013,Yes,-0.1568401 NO,NO,181333,527466,FORSET 
STREET,51.51656,Yes,02/09/2013,NO,-0.1643671 NO,NO,181024,528644,GLOBE 
YARD,51.513515,Yes,02/09/2013,NO,-0.1475102 Yes,NO,178925,529409,GREENCOAT 
PLACE,51.494476,NO,02/09/2013,NO,-0.1372617 NO,NO,180585,530363,JOHN ADAM 
STREET,51.509182,NO,02/09/2013,Yes,-0.1229144 NO,NO,181701,527789,MONTAGU MEWS 
NORTH,51.51979,Yes,02/09/2013,NO,-0.1595795 NO,NO,180935,527968,NORTH 
ROW,51.512867,Yes,02/09/2013,NO,-0.1572867 NO,NO,181373,527578,NUTFORD 
PLACE,51.51689,Yes,02/09/2013,NO,-0.1627377 NO,NO,180910,528096,PARK 
STREET,51.512615,NO,02/09/2013,Yes,-0.1554445 NO,NO,178750,528546,ELIZABETH 
STREET,51.493107,Yes,03/08/2012,NO,-0.149751 NO,Yes,182538,526918,LODGE 
ROAD,51.52751,NO,03/08/2012,NO,-0.1718295 Yes,NO,181336,528994,REGENT 
STREET,51.516247,NO,03/08/2012,NO,-0.1423526 NO,NO,183200,526941,COCHRANE 
MEWS,51.533455,Yes,11/07/2013,NO,-0.1712552 NO,NO,181033,527687,CONNAUGHT 
PLACE,51.51382,Yes,11/07/2013,Yes,-0.161298 NO,NO,180585,530363,JOHN ADAM 
STREET,51.509182,Yes,11/07/2013,NO,-0.1229144 NO,Yes,180576,528360,MOUNT 
STREET,51.509552,NO,11/07/2013,NO,-0.1517637 NO,NO,180377,528670,QUEEN 
STREET,51.507694,Yes,11/07/2013,NO,-0.1473717 NO,NO,180740,529590,DENMAN 
STREET,51.51075,Yes,15/04/2013,NO,-0.1339844 NO,NO,180311,530351,EMBANKMENT 
PLACE,51.50672,Yes,15/04/2013,NO,-0.1231922 Yes,NO,180703,530410,LUMLEY 
COURT,51.510223,Yes,15/04/2013,NO,-0.1221933 NO,Yes,181102,529447,PORTLAND 
MEWS,51.51403,NO,15/04/2013,NO,-0.1359159 NO,NO,180495,529074,ALBEMARLE 
STREET,51.508663,NO,17/03/2013,Yes,-0.1415104 Yes,NO,180675,529896,IRVING 
STREET,51.510094,NO,17/03/2013,NO,-0.1296115 Yes,NO,180782,529619,SHAFTESBURY 
AVENUE,51.511116,NO,17/03/2013,NO,-0.1335539 Yes,NO,180624,529673,SHAVER'S 
PLACE,51.509686,NO,17/03/2013,NO,-0.1328365 Yes,NO,180575,529637,ST ALBAN'S 
STREET,51.50925,NO,17/03/2013,NO,-0.133373 Yes,NO,180575,529637,ST JAMES'S 
MARKET,51.50925,NO,17/03/2013,NO,-0.133373 Yes,NO,180918,529657,WARDOUR 
STREET,51.51233,NO,17/03/2013,NO,-0.1329589 Yes,NO,180645,530010,HANWAY 
STREET,51.509796,NO,08/02/2013,NO,-0.1279754 NO,NO,180520,528889,HAY 
HILL,51.50893,Yes,08/02/2013,NO,-0.1441656 NO,NO,180608,529874,ORANGE 
STREET,51.509495,NO,08/02/2013,Yes,-0.1299477 NO,NO,181752,529282,RIDING HOUSE 
STREET,51.519917,NO,08/02/2013,Yes,-0.1380622 Yes,NO,180782,529619,SHAFTESBURY 
AVENUE,51.511116,NO,08/02/2013,NO,-0.1335539 NO,NO,179088,528886,TERMINUS 
PLACE,51.49606,NO,08/02/2013,Yes,-0.1447318 NO,NO,181092,529146,ARGYLL 
STREET,51.51401,Yes,29/05/2012,NO,-0.1402549 NO,NO,182055,527736,DORSET 
SQUARE,51.522987,NO,29/05/2012,Yes,-0.1602147 NO,NO,180311,530351,EMBANKMENT 
PLACE,51.50672,Yes,29/05/2012,NO,-0.1231922 NO,NO,180645,530010,HANWAY 
STREET,51.509796,Yes,29/05/2012,NO,-0.1279754 NO,NO,181046,529446,INGESTRE 
